Id,Number,Letter,Rep,Conc,Temperature,Hours,MM,Growth_rate,Irrigation,Control,Relative,Species,Isolate
CCH_F,11,,1,0%,23°C,48,2,0.041666667,Irrigated,0.041666667,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,0%,23°C,48,2,0.041666667,Irrigated,0.041666667,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,0%,23°C,48,2,0.041666667,Irrigated,0.041666667,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,0%,23°C,72,6,0.083333333,Irrigated,0.083333333,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,0%,23°C,72,7,0.097222222,Irrigated,0.097222222,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,0%,23°C,72,6,0.083333333,Irrigated,0.083333333,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,0%,23°C,96,8,0.083333333,Irrigated,0.083333333,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,0%,23°C,96,10,0.104166667,Irrigated,0.104166667,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,0%,23°C,96,8,0.083333333,Irrigated,0.083333333,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,0%,23°C,120,14,0.116666667,Irrigated,0.116666667,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,0%,23°C,120,15,0.125,Irrigated,0.125,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,0%,23°C,120,14,0.116666667,Irrigated,0.116666667,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,0%,23°C,144,18,0.125,Irrigated,0.125,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,0%,23°C,144,20,0.138888889,Irrigated,0.138888889,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,0%,23°C,144,19,0.131944444,Irrigated,0.131944444,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,0%,23°C,170,25,0.147058824,Irrigated,0.147058824,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,0%,23°C,170,27,0.158823529,Irrigated,0.158823529,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,0%,23°C,170,27,0.158823529,Irrigated,0.158823529,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,0%,31°C,48,5,0.104166667,Irrigated,0.104166667,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,0%,31°C,48,5,0.104166667,Irrigated,0.104166667,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,0%,31°C,48,5,0.104166667,Irrigated,0.104166667,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,0%,31°C,72,11,0.152777778,Irrigated,0.152777778,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,0%,31°C,72,12,0.166666667,Irrigated,0.166666667,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,0%,31°C,72,12,0.166666667,Irrigated,0.166666667,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,0%,31°C,96,18,0.1875,Irrigated,0.1875,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,0%,31°C,96,17,0.177083333,Irrigated,0.177083333,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,0%,31°C,96,18,0.1875,Irrigated,0.1875,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,0%,31°C,120,30,0.25,Irrigated,0.25,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,0%,31°C,120,25,0.208333333,Irrigated,0.208333333,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,0%,31°C,120,25,0.208333333,Irrigated,0.208333333,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,0%,31°C,144,35,0.243055556,Irrigated,0.243055556,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,0%,31°C,144,32,0.222222222,Irrigated,0.222222222,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,0%,31°C,144,31,0.215277778,Irrigated,0.215277778,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,0%,31°C,170,40,0.235294118,Irrigated,0.235294118,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,0%,31°C,170,55,0.323529412,Irrigated,0.323529412,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,0%,31°C,170,41,0.241176471,Irrigated,0.241176471,100,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,10%,23°C,48,0,0,Irrigated,0.041666667,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,10%,23°C,48,0,0,Irrigated,0.041666667,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,10%,23°C,48,0,0,Irrigated,0.041666667,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,10%,23°C,72,0,0,Irrigated,0.083333333,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,10%,23°C,72,0,0,Irrigated,0.097222222,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,10%,23°C,72,0,0,Irrigated,0.083333333,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,10%,23°C,96,0,0,Irrigated,0.083333333,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,10%,23°C,96,0,0,Irrigated,0.104166667,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,10%,23°C,96,0,0,Irrigated,0.083333333,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,10%,23°C,120,0,0,Irrigated,0.116666667,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,10%,23°C,120,0,0,Irrigated,0.125,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,10%,23°C,120,0,0,Irrigated,0.116666667,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,10%,23°C,144,0,0,Irrigated,0.125,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,10%,23°C,144,0,0,Irrigated,0.138888889,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,10%,23°C,144,0,0,Irrigated,0.131944444,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,10%,23°C,170,0,0,Irrigated,0.147058824,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,10%,23°C,170,0,0,Irrigated,0.158823529,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,10%,23°C,170,1,0.005882353,Irrigated,0.158823529,3.703703704,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,10%,31°C,48,0,0,Irrigated,0.104166667,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,10%,31°C,48,0,0,Irrigated,0.104166667,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,10%,31°C,48,0,0,Irrigated,0.104166667,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,10%,31°C,72,0,0,Irrigated,0.152777778,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,10%,31°C,72,0,0,Irrigated,0.166666667,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,10%,31°C,72,0,0,Irrigated,0.166666667,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,10%,31°C,96,0,0,Irrigated,0.1875,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,10%,31°C,96,0,0,Irrigated,0.177083333,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,10%,31°C,96,0,0,Irrigated,0.1875,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,10%,31°C,120,1,0.008333333,Irrigated,0.25,3.333333333,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,10%,31°C,120,1,0.008333333,Irrigated,0.208333333,4,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,10%,31°C,120,0,0,Irrigated,0.208333333,0,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,10%,31°C,144,1,0.006944444,Irrigated,0.243055556,2.857142857,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,10%,31°C,144,1,0.006944444,Irrigated,0.222222222,3.125,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,10%,31°C,144,1,0.006944444,Irrigated,0.215277778,3.225806452,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,1,10%,31°C,170,2,0.011764706,Irrigated,0.235294118,5,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,2,10%,31°C,170,2,0.011764706,Irrigated,0.323529412,3.636363636,Talaromyces purpureogenus,CCH_F11
CCH_F,11,,3,10%,31°C,170,1,0.005882353,Irrigated,0.241176471,2.43902439,Talaromyces purpureogenus,CCH_F11
CCH_F,14,,1,0%,23°C,48,6,0.125,Irrigated,0.125,100,Fusarium oxysporum,CCH_F14
CCH_F,14,,1,0%,23°C,48,8,0.166666667,Irrigated,0.166666667,100,Fusarium oxysporum,CCH_F14
